mask_func,iter,fid_value
linear,0,50.16713063761166
linear,1,50.16713063761166
linear,2,50.16713063761166
linear,3,50.16713063761166
linear,4,50.16713063761166
linear,5,50.16713063761166
linear,6,50.16713063761166
linear,7,50.16713063761166
linear,8,50.16713063761166
linear,9,50.16713063761166
linear,10,50.16713063761166
linear,11,50.16713063761166
linear,12,50.16713063761166
linear,13,50.16713063761166
linear,14,50.16713063761166
linear,15,50.16713063761166
linear,16,50.16713063761166
linear,17,50.16713063761166
linear,18,50.16713063761166
linear,19,50.16713063761166
cosine,0,50.16713063761166
cosine,1,50.16713063761166
cosine,2,50.16713063761166
cosine,3,50.16713063761166
cosine,4,50.16713063761166
cosine,5,50.16713063761166
cosine,6,50.16713063761166
cosine,7,50.16713063761166
cosine,8,50.16713063761166
cosine,9,50.16713063761166
cosine,10,50.16713063761166
cosine,11,50.16713063761166
cosine,12,50.16713063761166
cosine,13,50.16713063761166
cosine,14,50.16713063761166
cosine,15,50.16713063761166
cosine,16,50.16713063761166
cosine,17,50.16713063761166
cosine,18,50.16713063761166
cosine,19,50.16713063761166
square,0,50.16713063761166
square,1,50.16713063761166
square,2,50.16713063761166
square,3,50.16713063761166
square,4,50.16713063761166
square,5,50.16713063761166
square,6,50.16713063761166
square,7,50.16713063761166
square,8,50.16713063761166
square,9,50.16713063761166
square,10,50.16713063761166
square,11,50.16713063761166
square,12,50.16713063761166
square,13,50.16713063761166
square,14,50.16713063761166
square,15,50.16713063761166
square,16,50.16713063761166
square,17,50.16713063761166
square,18,50.16713063761166
square,19,50.16713063761166
linear,0,30.756993820903574
linear,1,30.756993820903574
linear,2,30.360492436817168
linear,3,30.789397037082864
linear,4,31.00651685430074
linear,5,31.020139357467258
linear,6,30.974291275600677
linear,7,30.89909202392508
linear,8,31.00248457812259
linear,9,31.219199265465733
linear,10,31.31861936836009
linear,11,31.326707886704895
linear,12,31.66945951119294
linear,13,31.772990887275597
linear,14,31.596323411326352
linear,15,31.791696849320658
linear,16,31.883384294809616
linear,17,31.89982488908899
linear,18,31.887695145202315
linear,19,31.887695145202315
cosine,0,30.756993820903574
cosine,1,30.756993820903574
cosine,2,30.81446891175102
cosine,3,30.869873633939648
