mask_func,iter,fid_value
linear,0,49.28487758771024
linear,1,49.28487758771024
linear,2,49.28487758771024
linear,3,49.28487758771024
linear,4,49.28487758771024
linear,5,49.28487758771024
linear,6,49.28487758771024
linear,7,49.28487758771024
linear,8,49.28487758771024
linear,9,49.28487758771024
linear,10,49.28487758771024
linear,11,49.28487758771024
linear,12,49.28487758771024
linear,13,49.28487758771024
linear,14,49.28487758771024
linear,15,49.28487758771024
linear,16,49.28487758771024
linear,17,49.28487758771024
linear,18,49.28487758771024
linear,19,49.28487758771024
cosine,0,49.28487758771024
cosine,1,49.28487758771024
cosine,2,49.28487758771024
cosine,3,49.28487758771024
cosine,4,49.28487758771024
cosine,5,49.28487758771024
cosine,6,49.28487758771024
cosine,7,49.28487758771024
cosine,8,49.28487758771024
cosine,9,49.28487758771024
cosine,10,49.28487758771024
cosine,11,49.28487758771024
cosine,12,49.28487758771024
cosine,13,49.28487758771024
cosine,14,49.28487758771024
cosine,15,49.28487758771024
cosine,16,49.28487758771024
cosine,17,49.28487758771024
cosine,18,49.28487758771024
cosine,19,49.28487758771024
square,0,49.28487758771024
square,1,49.28487758771024
square,2,49.28487758771024
square,3,49.28487758771024
square,4,49.28487758771024
square,5,49.28487758771024
square,6,49.28487758771024
square,7,49.28487758771024
square,8,49.28487758771024
square,9,49.28487758771024
square,10,49.28487758771024
square,11,49.28487758771024
square,12,49.28487758771024
square,13,49.28487758771024
square,14,49.28487758771024
square,15,49.28487758771024
square,16,49.28487758771024
square,17,49.28487758771024
square,18,49.28487758771024
square,19,49.28487758771024
